2023-03-13 02:41:55.127286 [INFO   ] [APP] application started
2023-03-13 02:41:55.127299 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-13 02:41:55.127767 [INFO   ] [CON] connecting to: 172.30.0.2:12345
2023-03-13 02:41:55.127894 [INFO   ] [CON] connected successfully to: 172.30.0.2:12345
2023-03-13 02:41:55.127909 [INFO   ] [BASE] logging in with teamname='BGAF_2047' and secret='fea33fb94e72479484f0b6f21ead8e8a'
2023-03-13 02:42:12.735946 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126400; ask volumes: 11980; bid prices: 126200; bid volumes: 2560
2023-03-13 02:42:12.736127 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-13 02:42:12.823720 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 126400; ask volumes: 1; bid prices: 0; bid volumes: 0
2023-03-13 02:42:12.979479 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126500; ask volumes: 5680; bid prices: 126300; bid volumes: 11000
2023-03-13 02:42:12.979491 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126400; ask volumes: 32; bid prices: 126100; bid volumes: 49
2023-03-13 02:42:13.176644 [INFO   ] [AUTO] order 5 filled for 16 lots at $126600 cents
2023-03-13 02:42:13.177227 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 126500; ask volumes: 33; bid prices: 0; bid volumes: 0
2023-03-13 02:42:13.177426 [INFO   ] [AUTO] hedge order 9 filled for 16 lots at $126500 average price in cents
2023-03-13 02:42:13.218331 [INFO   ] [AUTO] order 7 filled for 16 lots at $126200 cents
2023-03-13 02:42:13.219879 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 12
2023-03-13 02:42:13.220018 [INFO   ] [AUTO] hedge order 10 filled for 16 lots at $126300 average price in cents
2023-03-13 02:42:13.285576 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126800; ask volumes: 9000; bid prices: 126600; bid volumes: 2000
2023-03-13 02:42:13.285762 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126700; ask volumes: 53; bid prices: 126200; bid volumes: 39
2023-03-13 02:42:13.448990 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126600; ask volumes: 1000; bid prices: 126500; bid volumes: 1000
2023-03-13 02:42:13.449001 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126800; ask volumes: 25; bid prices: 126600; bid volumes: 15
2023-03-13 02:42:13.452540 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 126600; bid volumes: 15
2023-03-13 02:42:13.749810 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126600; ask volumes: 1030; bid prices: 126500; bid volumes: 10000
2023-03-13 02:42:13.749823 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126600; ask volumes: 10; bid prices: 126500; bid volumes: 85
2023-03-13 02:42:13.923180 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 126700; ask volumes: 2000; bid prices: 0; bid volumes: 0
2023-03-13 02:42:13.962376 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 126800; ask volumes: 1860; bid prices: 126700; bid volumes: 10000
2023-03-13 02:42:13.962388 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 126600; ask volumes: 10; bid prices: 126500; bid volumes: 70
