Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,Algorizzms_1224,Tick,0,0,0,0,,,0,0,0,OK
4e-06,SolvingLeetcodesFast_69420,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Stonklins_135366,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Cosmospoint_9797,Tick,0,0,0,0,,,0,0,0,OK
4e-06,BGAF_2047,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Noedgeonlyvol_2557,Tick,0,0,0,0,,,0,0,0,OK
4e-06,raiseKeyErrorteamname_42,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Edius_2735,Tick,0,0,0,0,,,0,0,0,OK
0.270715,Algorizzms_1224,Tick,0,0,0,0,126400,,0,0,0,OK
0.270715,SolvingLeetcodesFast_69420,Tick,0,0,0,0,126400,,0,0,0,OK
0.270715,Stonklins_135366,Tick,0,0,0,0,126400,,0,0,0,OK
0.270715,Cosmospoint_9797,Tick,0,0,0,0,126400,,0,0,0,OK
0.270715,BGAF_2047,Tick,0,0,0,0,126400,,0,0,0,OK
0.270715,Noedgeonlyvol_2557,Tick,0,1,-1,0,126400,,-13,126413,126413,OK
0.270715,raiseKeyErrorteamname_42,Tick,0,0,0,0,126400,,0,0,0,OK
0.270715,Edius_2735,Tick,0,0,0,0,126400,,0,0,0,OK
0.538203,Algorizzms_1224,Tick,0,0,0,0,126200,,0,0,0,OK
0.538203,SolvingLeetcodesFast_69420,Tick,0,15,-15,15,126200,,-190,1690,1690,OK
0.538203,Stonklins_135366,Tick,0,70,-70,70,126200,,-886,7886,7886,OK
0.538203,Cosmospoint_9797,Tick,0,15,-15,15,126200,,-190,1690,1690,OK
0.538203,BGAF_2047,Tick,9,16,-7,7,126200,,-317,2817,2817,OK
0.538203,Noedgeonlyvol_2557,Tick,18,21,-3,2,126200,,-494,132194,132194,OK
0.538203,raiseKeyErrorteamname_42,Tick,0,0,0,0,126200,,0,0,0,OK
0.538203,Edius_2735,Tick,0,0,0,0,126200,,0,0,0,OK
0.771466,Algorizzms_1224,Tick,0,0,0,0,126200,,0,0,0,OK
0.771466,SolvingLeetcodesFast_69420,Tick,0,15,-15,15,126200,,-190,1690,1690,OK
0.771466,Stonklins_135366,Tick,0,70,-70,70,126200,,-886,7886,7886,OK
