2023-03-12 17:14:21.947647 [INFO   ] [APP] application started
2023-03-12 17:14:21.947679 [INFO   ] [APP] loading configuration from 'bpp_arb.json'
2023-03-12 17:14:21.947791 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-12 17:14:21.948416 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-12 17:14:21.948460 [INFO   ] [BASE] logging in with teamname='bpp_arb' and secret='secret'
2023-03-12 17:14:26.422310 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 1000; bid prices: 146900; bid volumes: 13000
2023-03-12 17:14:26.422356 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-12 17:14:26.649255 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 5000
2023-03-12 17:14:26.649292 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 16; bid prices: 146800; bid volumes: 16
2023-03-12 17:14:26.965993 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 1000
2023-03-12 17:14:26.966028 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 26; bid prices: 146800; bid volumes: 26
2023-03-12 17:14:27.188668 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9410; bid prices: 146900; bid volumes: 4450
2023-03-12 17:14:27.188710 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146800; bid volumes: 16
2023-03-12 17:14:27.189019 [INFO   ] [AUTO] order 1 filled for 16 lots at $147200 cents
2023-03-12 17:14:27.189062 [INFO   ] [AUTO] order 2 filled for 33 lots at $147300 cents
2023-03-12 17:14:27.189702 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 17:14:27.189819 [INFO   ] [AUTO] hedge order 5 filled for 16 lots at $147100 average price in cents
2023-03-12 17:14:27.189865 [INFO   ] [AUTO] hedge order 6 filled for 33 lots at $147100 average price in cents
2023-03-12 17:14:27.427292 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 5000
2023-03-12 17:14:27.427335 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 146800; bid volumes: 26
2023-03-12 17:14:27.429093 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-12 17:14:27.474253 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 1
2023-03-12 17:14:27.709119 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 9000; bid prices: 147000; bid volumes: 5000
2023-03-12 17:14:27.709143 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147300; ask volumes: 8; bid prices: 147000; bid volumes: 53
2023-03-12 17:14:27.880916 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 900
2023-03-12 17:14:27.880956 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147400; ask volumes: 18; bid prices: 147000; bid volumes: 34
2023-03-12 17:14:28.158850 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 3900
2023-03-12 17:14:28.158889 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147300; ask volumes: 8; bid prices: 147000; bid volumes: 24
2023-03-12 17:14:28.441174 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9420; bid prices: 147000; bid volumes: 900
2023-03-12 17:14:28.441217 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147300; ask volumes: 8; bid prices: 147000; bid volumes: 24
2023-03-12 17:14:28.449159 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 900
2023-03-12 17:14:28.568603 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 500
