Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2e-06,basic_plus,Tick,0,0,0,0,,,0,0,0,OK
2e-06,arbtr_dyn_FAK,Tick,0,0,0,0,,,0,0,0,OK
2e-06,arbtr_dyn_GFD,Tick,0,0,0,0,,,0,0,0,OK
2e-06,basic_plus_polyorder,Tick,0,0,0,0,,,0,0,0,OK
2e-06,hybrid,Tick,0,0,0,0,,,0,0,0,OK
2e-06,japanese_paper,Tick,0,0,0,0,,,0,0,0,OK
2e-06,bpp_arb,Tick,0,0,0,0,,,0,0,0,OK
0.229533,basic_plus,Tick,0,0,0,0,,,0,0,0,OK
0.229533,arbtr_dyn_FAK,Tick,0,0,0,0,,,0,0,0,OK
0.229533,arbtr_dyn_GFD,Tick,0,0,0,0,,,0,0,0,OK
0.229533,basic_plus_polyorder,Tick,0,0,0,0,,,0,0,0,OK
0.229533,hybrid,Tick,0,0,0,0,,,0,0,0,OK
0.229533,japanese_paper,Tick,0,0,0,0,,,0,0,0,OK
0.229533,bpp_arb,Tick,0,0,0,0,,,0,0,0,OK
0.546253,basic_plus,Tick,0,0,0,0,,,0,0,0,OK
0.546253,arbtr_dyn_FAK,Tick,0,0,0,0,,,0,0,0,OK
0.546253,arbtr_dyn_GFD,Tick,0,0,0,0,,,0,0,0,OK
0.546253,basic_plus_polyorder,Tick,0,0,0,0,,,0,0,0,OK
0.546253,hybrid,Tick,0,0,0,0,,,0,0,0,OK
0.546253,japanese_paper,Tick,0,0,0,0,,,0,0,0,OK
0.546253,bpp_arb,Tick,0,0,0,0,,,0,0,0,OK
0.768917,basic_plus,Tick,0,0,0,0,,,0,0,0,OK
0.768917,arbtr_dyn_FAK,Tick,0,0,0,0,,,0,0,0,OK
0.768917,arbtr_dyn_GFD,Tick,0,0,0,0,,,0,0,0,OK
0.768917,basic_plus_polyorder,Tick,0,0,0,0,,,0,0,0,OK
0.768917,hybrid,Tick,0,0,0,0,,,0,0,0,OK
0.768917,japanese_paper,Tick,0,0,0,0,,,0,0,0,OK
0.768917,bpp_arb,Tick,0,0,0,0,,,0,0,0,OK
1.007538,basic_plus,Tick,0,30,-30,30,147600,,-442,9442,9442,OK
1.007538,arbtr_dyn_FAK,Tick,0,0,0,0,147600,,0,0,0,OK
1.007538,arbtr_dyn_GFD,Tick,0,0,0,0,147600,,0,0,0,OK
1.007538,basic_plus_polyorder,Tick,0,20,-20,20,147600,,-295,8295,8295,OK
1.007538,hybrid,Tick,0,0,0,0,147600,,0,0,0,OK
1.007538,japanese_paper,Tick,0,10,-10,10,147600,,-147,147,147,OK
1.007538,bpp_arb,Tick,0,49,-49,49,147600,,-722,8922,8922,OK
1.289359,basic_plus,Tick,1,30,-29,29,147000,147100,-457,9557,12457,OK
1.289359,arbtr_dyn_FAK,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.289359,arbtr_dyn_GFD,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.289359,basic_plus_polyorder,Tick,0,20,-20,20,147000,147100,-295,8295,10295,OK
1.289359,hybrid,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.289359,japanese_paper,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
1.289359,bpp_arb,Tick,0,49,-49,49,147000,147100,-722,8922,13822,OK
1.461179,basic_plus,Tick,1,30,-29,29,147000,147100,-457,9557,12457,OK
1.461179,arbtr_dyn_FAK,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.461179,arbtr_dyn_GFD,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.461179,basic_plus_polyorder,Tick,0,20,-20,20,147000,147100,-295,8295,10295,OK
1.461179,hybrid,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.461179,japanese_paper,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
1.461179,bpp_arb,Tick,0,49,-49,49,147000,147100,-722,8922,13822,OK
1.739108,basic_plus,Tick,1,30,-29,29,147000,147100,-457,9557,12457,OK
1.739108,arbtr_dyn_FAK,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.739108,arbtr_dyn_GFD,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.739108,basic_plus_polyorder,Tick,0,20,-20,20,147000,147100,-295,8295,10295,OK
1.739108,hybrid,Tick,0,0,0,0,147000,147100,0,0,0,OK
1.739108,japanese_paper,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
1.739108,bpp_arb,Tick,0,49,-49,49,147000,147100,-722,8922,13822,OK
2.021439,basic_plus,Tick,1,30,-29,29,147000,147100,-457,9557,12457,OK
2.021439,arbtr_dyn_FAK,Tick,0,0,0,0,147000,147100,0,0,0,OK
2.021439,arbtr_dyn_GFD,Tick,0,0,0,0,147000,147100,0,0,0,OK
2.021439,basic_plus_polyorder,Tick,0,20,-20,20,147000,147100,-295,8295,10295,OK
2.021439,hybrid,Tick,0,0,0,0,147000,147100,0,0,0,OK
2.021439,japanese_paper,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
2.021439,bpp_arb,Tick,0,49,-49,49,147000,147100,-722,8922,13822,OK
2.237516,basic_plus,Tick,1,30,-29,29,147000,146900,-457,9557,6657,OK
2.237516,arbtr_dyn_FAK,Tick,0,0,0,0,147000,146900,0,0,0,OK
2.237516,arbtr_dyn_GFD,Tick,0,0,0,0,147000,146900,0,0,0,OK
2.237516,basic_plus_polyorder,Tick,0,20,-20,20,147000,146900,-295,8295,6295,OK
2.237516,hybrid,Tick,0,0,0,0,147000,146900,0,0,0,OK
2.237516,japanese_paper,Tick,0,10,-10,10,147000,146900,-147,147,-853,OK
2.237516,bpp_arb,Tick,0,49,-49,49,147000,146900,-722,8922,4022,OK
2.460221,basic_plus,Tick,1,30,-29,29,147000,146900,-457,9557,6657,OK
2.460221,arbtr_dyn_FAK,Tick,0,0,0,0,147000,146900,0,0,0,OK
